transaction_date,volume,,,
6/23/13,26.02,,,
6/24/13,669.09,,,
6/25/13,865.4,,,
6/26/13,917.03,,,
6/27/13,877.58,,,
6/28/13,640.4,,,
6/29/13,411.49,,,
6/30/13,257.73,,,
7/1/13,580.95,,,
7/2/13,975.91,,,
7/3/13,945.17,,,
7/4/13,687.96,,,
7/5/13,905.17,,,
7/6/13,287.59,,,
7/7/13,229.02,,,
7/8/13,540.73,,,
7/9/13,578.43,,,
7/10/13,869.82,,,
7/11/13,855.73,,,
7/12/13,605.94,,,
7/13/13,683.16,,,
7/14/13,2081.87,,,
7/15/13,6941.88,,,
7/16/13,8315.99,,,
7/17/13,8042.02,,,
7/18/13,8458.82,,,
7/19/13,7386.68,,,
7/20/13,3287.28,,,
7/21/13,1871.1,,,
7/22/13,8288.96,,,
7/23/13,8282.57,,,
7/24/13,8010.27,,,
7/25/13,7917.71,,,
7/26/13,6895.76,,,
7/27/13,2619.92,,,
7/28/13,1629.81,,,
7/29/13,7719.25,,,
7/30/13,8464.28,,,
7/31/13,8523.67,,,
8/1/13,7403.4,,,
8/2/13,6704.73,,,
8/3/13,2693.64,,,
8/4/13,1701.86,,,
8/5/13,6853.96,,,
8/6/13,7190.22,,,
8/7/13,7899.3,,,
8/8/13,7600.14,,,
8/9/13,6701.84,,,
8/10/13,2453.15,,,
8/11/13,1752.41,,,
8/12/13,8240.94,,,
8/13/13,6953.96,,,
8/14/13,7789.52,,,
8/15/13,8075.48,,,
8/16/13,5740.05,,,
8/17/13,2788.9,,,
8/18/13,2598.98,,,
8/19/13,7605.58,,,
8/20/13,7575.68,,,
8/21/13,8133.2,,,
8/22/13,7062.31,,,
8/23/13,6620.38,,,
8/24/13,2599.38,,,
8/25/13,1703.02,,,
8/26/13,3241.85,,,
8/27/13,7585.71,,,
8/28/13,7274.46,,,
8/29/13,6786.27,,,
8/30/13,6560.82,,,
8/31/13,2750.06,,,
9/1/13,2147.99,,,
9/2/13,8377.11,,,
9/3/13,8239,,,
9/4/13,7891.72,,,
9/5/13,8557.6,,,
9/6/13,7287.06,,,
9/7/13,2646.97,,,
9/8/13,1664.29,,,
9/9/13,8422.5,,,
9/10/13,7548.79,,,
9/11/13,8468.79,,,
9/12/13,7843.4,,,
9/13/13,6997.84,,,
9/14/13,2417.69,,,
9/15/13,2055.56,,,
9/16/13,7453.07,,,
9/17/13,8015.75,,,
9/18/13,8319.95,,,
9/19/13,8081.97,,,
9/20/13,7615.37,,,
9/21/13,3262.73,,,
9/22/13,2072.02,,,
9/23/13,7552.21,,,
9/24/13,6829.65,,,
9/25/13,7768.65,,,
9/26/13,7670.03,,,
9/27/13,7556.46,,,
9/28/13,2118.48,,,
9/29/13,2176.42,,,
9/30/13,8556.96,,,
10/1/13,8112.23,,,
10/2/13,7991.43,,,
10/3/13,8429.4,,,
10/4/13,8062.97,,,
10/5/13,2769.35,,,
10/6/13,2000.03,,,
10/7/13,8640.79,,,
10/8/13,8495.78,,,
10/9/13,8648.2,,,
10/10/13,9095.31,,,
10/11/13,7729.02,,,
10/12/13,3145.8,,,
10/13/13,1885.99,,,
10/14/13,8913.59,,,
10/15/13,8317.74,,,
10/16/13,8878.08,,,
10/17/13,7819.3,,,
10/18/13,7363.02,,,
10/19/13,2447.72,,,
10/20/13,2120.84,,,
10/21/13,7487.05,,,
10/22/13,7797.36,,,
10/23/13,8479.67,,,
10/24/13,7404.41,,,
10/25/13,7152.75,,,
10/26/13,3064.4,,,
10/27/13,1693.67,,,
10/28/13,7650.48,,,
10/29/13,8609.5,,,
10/30/13,9317.12,,,
10/31/13,8420.57,,,
11/1/13,7402.71,,,
11/2/13,3043.16,,,
